StudentID,CourseID,Semester,Name,StudentDept,CourseName,CourseDept,Grade,letter_grade
S060,C109,Fall2023,Student60,Computer Science,Inorganic Chemistry,Chemistry,70.0,C
S060,C104,Fall2023,Student60,Computer Science,Calculus,Mathematics,44.0,D
S061,C105,Fall2023,Student61,Mathematics,Linear Algebra,Mathematics,44.0,D
S061,C103,Fall2023,Student61,Mathematics,Databases,Computer Science,83.0,B
S061,C106,Fall2023,Student61,Mathematics,Quantum Mechanics,Physics,,F
S061,C102,Fall2023,Student61,Mathematics,Algorithms,Computer Science,76.0,B
S062,C106,Fall2023,Student62,Computer Science,Quantum Mechanics,Physics,45.0,D
S062,C105,Fall2023,Student62,Computer Science,Linear Algebra,Mathematics,47.0,D
S063,C108,Fall2023,Student63,Chemistry,Organic Chemistry,Chemistry,66.0,C
S063,C109,Fall2023,Student63,Chemistry,Inorganic Chemistry,Chemistry,90.0,A
S064,C105,Fall2023,Student64,Physics,Linear Algebra,Mathematics,89.0,B
S064,C110,Fall2023,Student64,Physics,Genetics,Biology,68.0,C
S064,C109,Fall2023,Student64,Physics,Inorganic Chemistry,Chemistry,59.0,D
S064,C101,Fall2023,Student64,Physics,Data Structures,Computer Science,67.0,C
S065,C109,Fall2023,Student65,Chemistry,Inorganic Chemistry,Chemistry,79.0,B
S065,C105,Fall2023,Student65,Chemistry,Linear Algebra,Mathematics,,F
S065,C102,Fall2023,Student65,Chemistry,Algorithms,Computer Science,46.0,D
S065,C103,Fall2023,Student65,Chemistry,Databases,Computer Science,53.0,D
S066,C102,Fall2023,Student66,Physics,Algorithms,Computer Science,56.0,D
S066,C111,Fall2023,Student66,Physics,Microbiology,Biology,50.0,D
S066,C109,Fall2023,Student66,Physics,Inorganic Chemistry,Chemistry,75.0,B
S067,C105,Fall2023,Student67,Mathematics,Linear Algebra,Mathematics,,F
S067,C111,Fall2023,Student67,Mathematics,Microbiology,Biology,,F
S068,C104,Fall2023,Student68,Physics,Calculus,Mathematics,78.0,B
S068,C106,Fall2023,Student68,Physics,Quantum Mechanics,Physics,42.0,D
S068,C111,Fall2023,Student68,Physics,Microbiology,Biology,85.0,B
S068,C105,Fall2023,Student68,Physics,Linear Algebra,Mathematics,95.0,A
S069,C108,Fall2023,Student69,Physics,Organic Chemistry,Chemistry,83.0,B
S069,C105,Fall2023,Student69,Physics,Linear Algebra,Mathematics,56.0,D
S069,C101,Fall2023,Student69,Physics,Data Structures,Computer Science,80.0,B
S069,C102,Fall2023,Student69,Physics,Algorithms,Computer Science,91.0,A
S070,C107,Fall2023,Student70,Mathematics,Electromagnetism,Physics,67.0,C
S070,C105,Fall2023,Student70,Mathematics,Linear Algebra,Mathematics,54.0,D
S070,C101,Fall2023,Student70,Mathematics,Data Structures,Computer Science,98.0,A
S070,C109,Fall2023,Student70,Mathematics,Inorganic Chemistry,Chemistry,49.0,D
S071,C103,Fall2023,Student71,Physics,Databases,Computer Science,,F
S071,C105,Fall2023,Student71,Physics,Linear Algebra,Mathematics,59.0,D
S071,C111,Fall2023,Student71,Physics,Microbiology,Biology,92.0,A
S072,C108,Fall2023,Student72,Computer Science,Organic Chemistry,Chemistry,58.0,D
S072,C109,Fall2023,Student72,Computer Science,Inorganic Chemistry,Chemistry,69.0,C
S072,C107,Fall2023,Student72,Computer Science,Electromagnetism,Physics,84.0,B
S072,C101,Fall2023,Student72,Computer Science,Data Structures,Computer Science,57.0,D
S073,C102,Fall2023,Student73,Biology,Algorithms,Computer Science,71.0,C
S073,C103,Fall2023,Student73,Biology,Databases,Computer Science,78.0,B
S074,C101,Fall2023,Student74,Mathematics,Data Structures,Computer Science,,F
S074,C106,Fall2023,Student74,Mathematics,Quantum Mechanics,Physics,60.0,C
S074,C109,Fall2023,Student74,Mathematics,Inorganic Chemistry,Chemistry,41.0,D
S074,C103,Fall2023,Student74,Mathematics,Databases,Computer Science,,F
S075,C103,Fall2023,Student75,Biology,Databases,Computer Science,93.0,A
S075,C101,Fall2023,Student75,Biology,Data Structures,Computer Science,77.0,B
S075,C105,Fall2023,Student75,Biology,Linear Algebra,Mathematics,88.0,B
S076,C101,Fall2023,Student76,Mathematics,Data Structures,Computer Science,57.0,D
S076,C106,Fall2023,Student76,Mathematics,Quantum Mechanics,Physics,88.0,B
S076,C104,Fall2023,Student76,Mathematics,Calculus,Mathematics,70.0,C
S077,C104,Fall2023,Student77,Mathematics,Calculus,Mathematics,68.0,C
S077,C102,Fall2023,Student77,Mathematics,Algorithms,Computer Science,51.0,D
S077,C106,Fall2023,Student77,Mathematics,Quantum Mechanics,Physics,67.0,C
S077,C107,Fall2023,Student77,Mathematics,Electromagnetism,Physics,71.0,C
S078,C103,Fall2023,Student78,Chemistry,Databases,Computer Science,70.0,C
S078,C104,Fall2023,Student78,Chemistry,Calculus,Mathematics,61.0,C
S078,C111,Fall2023,Student78,Chemistry,Microbiology,Biology,46.0,D
S078,C109,Fall2023,Student78,Chemistry,Inorganic Chemistry,Chemistry,61.0,C
S079,C101,Fall2023,Student79,Chemistry,Data Structures,Computer Science,71.0,C
S079,C103,Fall2023,Student79,Chemistry,Databases,Computer Science,100.0,A
S079,C106,Fall2023,Student79,Chemistry,Quantum Mechanics,Physics,88.0,B
S080,C111,Fall2023,Student80,Physics,Microbiology,Biology,69.0,C
S080,C104,Fall2023,Student80,Physics,Calculus,Mathematics,,F
S080,C105,Fall2023,Student80,Physics,Linear Algebra,Mathematics,47.0,D
S081,C102,Fall2023,Student81,Biology,Algorithms,Computer Science,65.0,C
S081,C107,Fall2023,Student81,Biology,Electromagnetism,Physics,92.0,A
S082,C108,Fall2023,Student82,Mathematics,Organic Chemistry,Chemistry,82.0,B
S082,C104,Fall2023,Student82,Mathematics,Calculus,Mathematics,69.0,C
S083,C108,Fall2023,Student83,Physics,Organic Chemistry,Chemistry,52.0,D
S083,C106,Fall2023,Student83,Physics,Quantum Mechanics,Physics,79.0,B
S084,C104,Fall2023,Student84,Computer Science,Calculus,Mathematics,80.0,B
S084,C111,Fall2023,Student84,Computer Science,Microbiology,Biology,43.0,D
S084,C101,Fall2023,Student84,Computer Science,Data Structures,Computer Science,75.0,B
S085,C104,Fall2023,Student85,Mathematics,Calculus,Mathematics,58.0,D
S085,C107,Fall2023,Student85,Mathematics,Electromagnetism,Physics,84.0,B
S085,C106,Fall2023,Student85,Mathematics,Quantum Mechanics,Physics,41.0,D
S085,C105,Fall2023,Student85,Mathematics,Linear Algebra,Mathematics,78.0,B
S086,C105,Fall2023,Student86,Computer Science,Linear Algebra,Mathematics,85.0,B
S086,C106,Fall2023,Student86,Computer Science,Quantum Mechanics,Physics,75.0,B
S087,C109,Fall2023,Student87,Physics,Inorganic Chemistry,Chemistry,,F
S087,C107,Fall2023,Student87,Physics,Electromagnetism,Physics,54.0,D
S087,C111,Fall2023,Student87,Physics,Microbiology,Biology,98.0,A
S087,C106,Fall2023,Student87,Physics,Quantum Mechanics,Physics,100.0,A
S088,C102,Fall2023,Student88,Chemistry,Algorithms,Computer Science,93.0,A
S088,C105,Fall2023,Student88,Chemistry,Linear Algebra,Mathematics,99.0,A
S089,C110,Fall2023,Student89,Physics,Genetics,Biology,72.0,C
S089,C105,Fall2023,Student89,Physics,Linear Algebra,Mathematics,66.0,C
S090,C102,Fall2023,Student90,Computer Science,Algorithms,Computer Science,70.0,C
S090,C110,Fall2023,Student90,Computer Science,Genetics,Biology,75.0,B
S091,C106,Fall2023,Student91,Mathematics,Quantum Mechanics,Physics,52.0,D
S091,C111,Fall2023,Student91,Mathematics,Microbiology,Biology,72.0,C
S091,C107,Fall2023,Student91,Mathematics,Electromagnetism,Physics,48.0,D
S092,C109,Fall2023,Student92,Biology,Inorganic Chemistry,Chemistry,57.0,D
S092,C102,Fall2023,Student92,Biology,Algorithms,Computer Science,94.0,A
S092,C107,Fall2023,Student92,Biology,Electromagnetism,Physics,99.0,A
S092,C104,Fall2023,Student92,Biology,Calculus,Mathematics,57.0,D
S093,C101,Fall2023,Student93,Physics,Data Structures,Computer Science,58.0,D
S093,C107,Fall2023,Student93,Physics,Electromagnetism,Physics,93.0,A
S093,C111,Fall2023,Student93,Physics,Microbiology,Biology,82.0,B
S094,C109,Fall2023,Student94,Mathematics,Inorganic Chemistry,Chemistry,49.0,D
S094,C104,Fall2023,Student94,Mathematics,Calculus,Mathematics,70.0,C
S094,C106,Fall2023,Student94,Mathematics,Quantum Mechanics,Physics,75.0,B
S094,C107,Fall2023,Student94,Mathematics,Electromagnetism,Physics,64.0,C
S095,C111,Fall2023,Student95,Chemistry,Microbiology,Biology,60.0,C
S095,C106,Fall2023,Student95,Chemistry,Quantum Mechanics,Physics,84.0,B
S096,C106,Fall2023,Student96,Chemistry,Quantum Mechanics,Physics,64.0,C
S096,C102,Fall2023,Student96,Chemistry,Algorithms,Computer Science,89.0,B
S096,C105,Fall2023,Student96,Chemistry,Linear Algebra,Mathematics,60.0,C
S096,C109,Fall2023,Student96,Chemistry,Inorganic Chemistry,Chemistry,85.0,B
S097,C107,Fall2023,Student97,Chemistry,Electromagnetism,Physics,64.0,C
S097,C106,Fall2023,Student97,Chemistry,Quantum Mechanics,Physics,82.0,B
S097,C111,Fall2023,Student97,Chemistry,Microbiology,Biology,81.0,B
S097,C105,Fall2023,Student97,Chemistry,Linear Algebra,Mathematics,71.0,C
S098,C103,Fall2023,Student98,Mathematics,Databases,Computer Science,48.0,D
S098,C104,Fall2023,Student98,Mathematics,Calculus,Mathematics,77.0,B
S098,C107,Fall2023,Student98,Mathematics,Electromagnetism,Physics,46.0,D
S098,C109,Fall2023,Student98,Mathematics,Inorganic Chemistry,Chemistry,68.0,C
S099,C103,Fall2023,Student99,Physics,Databases,Computer Science,,F
S099,C110,Fall2023,Student99,Physics,Genetics,Biology,40.0,D
S099,C105,Fall2023,Student99,Physics,Linear Algebra,Mathematics,66.0,C
S099,C107,Fall2023,Student99,Physics,Electromagnetism,Physics,49.0,D
S100,C101,Fall2023,Student100,Mathematics,Data Structures,Computer Science,,F
S100,C105,Fall2023,Student100,Mathematics,Linear Algebra,Mathematics,56.0,D
S100,C110,Fall2023,Student100,Mathematics,Genetics,Biology,84.0,B
S100,C104,Fall2023,Student100,Mathematics,Calculus,Mathematics,45.0,D
